Agent 1,Agent 2,Agent 3,Agent 4,Agent 5
144.0,18.0,53.0,21.0,25.0
371.0,15.0,56.0,22.0,12.0
330.0,9.0,43.0,15.0,21.0
276.0,18.0,43.0,54.0,30.0
500.0,13.0,34.0,20.0,17.0
500.0,32.0,36.0,23.0,17.0
449.0,26.0,34.0,70.0,12.0
243.0,28.0,27.0,21.0,23.0
217.0,13.0,35.0,9.0,22.0
412.0,19.0,37.0,38.0,84.0
500.0,18.0,29.0,12.0,51.0
250.0,23.0,28.0,37.0,43.0
500.0,34.0,33.0,24.0,29.0
500.0,13.0,35.0,11.0,79.0
500.0,11.0,33.0,33.0,20.0
312.0,21.0,33.0,20.0,48.0
352.0,25.0,49.0,18.0,11.0
500.0,13.0,46.0,42.0,35.0
250.0,12.0,54.0,38.0,19.0
471.0,14.0,52.0,31.0,25.0
286.0,20.0,51.0,21.0,58.0
500.0,22.0,40.0,10.0,17.0
500.0,22.0,44.0,63.0,22.0
188.0,24.0,38.0,14.0,19.0
343.0,12.0,52.0,21.0,48.0
377.0,17.0,46.0,16.0,17.0
500.0,27.0,61.0,14.0,22.0
161.0,38.0,46.0,16.0,22.0
500.0,35.0,59.0,18.0,47.0
264.0,16.0,65.0,13.0,9.0
268.0,17.0,69.0,15.0,11.0
368.0,24.0,55.0,19.0,15.0
267.0,15.0,76.0,13.0,53.0
299.0,65.0,53.0,17.0,31.0
500.0,21.0,75.0,24.0,17.0
451.0,9.0,101.0,12.0,12.0
175.0,9.0,109.0,20.0,27.0
309.0,14.0,72.0,57.0,21.0
500.0,18.0,115.0,22.0,132.0
500.0,11.0,103.0,60.0,31.0
500.0,34.0,88.0,22.0,64.0
500.0,19.0,149.0,20.0,13.0
420.0,13.0,81.0,13.0,30.0
500.0,15.0,105.0,28.0,13.0
336.0,22.0,76.0,52.0,16.0
344.0,44.0,98.0,55.0,83.0
359.0,19.0,105.0,23.0,28.0
366.0,23.0,69.0,68.0,24.0
346.0,9.0,78.0,10.0,125.0
300.0,55.0,101.0,14.0,11.0
500.0,19.0,78.0,30.0,39.0
361.0,25.0,84.0,35.0,19.0
500.0,20.0,65.0,53.0,15.0
500.0,26.0,104.0,17.0,34.0
437.0,19.0,128.0,16.0,18.0
500.0,21.0,113.0,16.0,96.0
500.0,11.0,135.0,37.0,63.0
500.0,15.0,105.0,15.0,42.0
500.0,19.0,94.0,24.0,24.0
500.0,31.0,149.0,20.0,23.0
500.0,14.0,88.0,20.0,57.0
500.0,20.0,84.0,48.0,14.0
466.0,14.0,100.0,44.0,75.0
500.0,30.0,114.0,26.0,52.0
383.0,41.0,156.0,38.0,22.0
180.0,21.0,127.0,12.0,17.0
500.0,26.0,148.0,12.0,13.0
462.0,22.0,114.0,43.0,28.0
307.0,45.0,135.0,26.0,45.0
461.0,17.0,109.0,55.0,35.0
484.0,9.0,99.0,12.0,28.0
324.0,12.0,118.0,17.0,10.0
500.0,29.0,90.0,12.0,63.0
161.0,14.0,92.0,33.0,33.0
284.0,41.0,127.0,20.0,16.0
361.0,12.0,91.0,11.0,79.0
361.0,17.0,125.0,28.0,55.0
484.0,22.0,107.0,14.0,60.0
398.0,44.0,103.0,10.0,16.0
500.0,24.0,128.0,34.0,32.0
424.0,14.0,128.0,16.0,79.0
239.0,18.0,133.0,63.0,23.0
500.0,23.0,125.0,12.0,26.0
393.0,16.0,120.0,19.0,13.0
500.0,12.0,125.0,19.0,18.0
500.0,15.0,151.0,37.0,13.0
500.0,37.0,184.0,47.0,23.0
500.0,51.0,175.0,28.0,32.0
203.0,23.0,116.0,28.0,10.0
263.0,23.0,124.0,15.0,29.0
500.0,26.0,118.0,43.0,14.0
228.0,26.0,129.0,26.0,14.0
374.0,24.0,111.0,118.0,29.0
500.0,14.0,120.0,30.0,21.0
294.0,30.0,162.0,38.0,19.0
424.0,18.0,141.0,21.0,23.0
500.0,21.0,158.0,15.0,41.0
500.0,65.0,157.0,51.0,38.0
430.0,13.0,143.0,33.0,33.0
500.0,12.0,154.0,19.0,23.0
500.0,20.0,147.0,34.0,26.0
500.0,23.0,385.0,20.0,25.0
500.0,17.0,329.0,18.0,16.0
500.0,13.0,193.0,24.0,22.0
492.0,42.0,144.0,15.0,23.0
500.0,21.0,169.0,38.0,21.0
500.0,30.0,144.0,70.0,66.0
